metric,n_games,r_raw,ci_lower_raw,ci_upper_raw,r_adj,ci_lower_adj,ci_upper_adj,diff
off_pass_epa,1,0.27039677853499594,0.20798090718251167,0.33197327186262093,0.2370303266501303,0.17492506122336543,0.3024461024813324,-0.033366451884865644
off_pass_epa,2,0.33847690476693804,0.2772060030224202,0.40446607369554693,0.32299360125745874,0.25942584402873137,0.38877736545290775,-0.015483303509479296
off_pass_epa,3,0.42601585063442904,0.3652123729573465,0.47575137791910416,0.4043655453166531,0.34467505310140883,0.4587848049553586,-0.021650305317775953
off_pass_epa,4,0.4839790444293483,0.43111219256875205,0.5398835208239608,0.47171811022281246,0.42071661050963827,0.5252675103666656,-0.012260934206535845
off_pass_epa,5,0.5008720173758482,0.4513802610268073,0.5517778588173162,0.4793743136380462,0.42907225561026696,0.5342350892262971,-0.021497703737801965
off_pass_epa,6,0.5051885937375381,0.4568396299349181,0.5542007567852975,0.4951602058559853,0.4475784635686224,0.5462561166742301,-0.010028387881552803
off_pass_epa,7,0.5033549690662793,0.45483911175015346,0.5532978621141257,0.4949155264776847,0.44326322833194814,0.5488252564305859,-0.008439442588594581
off_pass_epa,8,0.5140184868519354,0.4690704324769889,0.5589004402357839,0.509071098399026,0.4605141058138768,0.5595132109261616,-0.004947388452909429
off_rush_epa,1,0.13171632930866126,0.05967531812378193,0.20314086814007984,0.10850707158199424,0.03928152383670848,0.1802443897248599,-0.023209257726667015
off_rush_epa,2,0.24509620942959773,0.18005873141550105,0.3093914158142147,0.22909863921060428,0.16427041792448285,0.2932776551192555,-0.01599757021899345
off_rush_epa,3,0.31411762996893305,0.250895145510854,0.372152892327293,0.28950498505786565,0.22528478551077208,0.34980807025566435,-0.024612644911067405
off_rush_epa,4,0.33075583033808253,0.2663402825081229,0.3950084344892181,0.29412260477035157,0.22993127472834057,0.35559407722366076,-0.036633225567730965
off_rush_epa,5,0.350326821331885,0.2866653308139223,0.41472330051197487,0.31631096638615414,0.25371228178693056,0.37625222823514054,-0.03401585494573084
off_rush_epa,6,0.37338888120449143,0.3116945838490803,0.4340635620067512,0.34820504693172216,0.288281155503771,0.4121558692598957,-0.025183834272769268
off_rush_epa,7,0.37292302409398764,0.311906907108386,0.43524951243163373,0.3568282107768957,0.2964912216897284,0.41603936338677955,-0.01609481331709195
off_rush_epa,8,0.3715828815937365,0.309548414395592,0.43202680395648396,0.36448629219003004,0.30159716591660096,0.4258771425132234,-0.007096589403706444
off_success,1,0.3911385078866249,0.33418785582292354,0.444979928677352,0.34145092988297354,0.28225248983493306,0.4022066060090763,-0.04968757800365137
off_success,2,0.4743605516587556,0.41807884421004887,0.5273363028826022,0.4243716164318878,0.3664798899197121,0.4815235131807069,-0.049988935226867814
off_success,3,0.5346360028141873,0.4834039955114201,0.5803462677045342,0.4881400950532367,0.43031469259036054,0.53999485389993,-0.04649590776095064
off_success,4,0.5707220746757912,0.5221516501352071,0.6192440009609061,0.5265144382192731,0.4701791495720635,0.5775260897818114,-0.04420763645651804
off_success,5,0.5768049898366316,0.5303907699266718,0.6212323601885379,0.5201708640345433,0.46948872555544385,0.5712760991970468,-0.056634125802088375
off_success,6,0.59799458056346,0.5536406356505652,0.6411107537147029,0.5533912265789691,0.50347821766109,0.6003479515364726,-0.04460335398449089
off_success,7,0.602550062084141,0.5607082637381299,0.6441672428719689,0.5594791320512122,0.5099794118644223,0.6068564963823957,-0.04307093003292872
off_success,8,0.607456232226957,0.565583386186694,0.6488176628747442,0.5758149829659969,0.530259638808764,0.6204762870582413,-0.031641249260960125
metric,n_games,r_raw,ci_lower_raw,ci_upper_raw,r_adj,ci_lower_adj,ci_upper_adj,diff
def_pass_epa,1,0.14846028384655946,0.0831920819653981,0.21234086995176302,0.12417945041907803,0.0543390215626427,0.19349493829176637,-0.024280833427481427
def_pass_epa,2,0.24462198571769245,0.17882935448915138,0.30874094214590925,0.23394798627435848,0.17085883928604978,0.3019734664609669,-0.01067399944333397
def_pass_epa,3,0.25749211882207484,0.19174559899214041,0.3191169936228934,0.2581593914466162,0.19532440392497707,0.31995791939210766,6.672726245413596E-4
def_pass_epa,4,0.2615174900437942,0.19800834404725437,0.3259959448144675,0.25829803780918464,0.19427301725808158,0.3236169292115785,-0.0032194522346095655
def_pass_epa,5,0.2811139576582112,0.21584313476297684,0.34439274097658185,0.27970196778620676,0.21708392010753352,0.3425444405884825,-0.0014119898720044155
def_pass_epa,6,0.272320083124354,0.21176381293711147,0.3325791635957652,0.26849268793085285,0.20504447353895858,0.3294869007492127,-0.0038273951935011707
def_pass_epa,7,0.2717709414857858,0.20901408206330427,0.3352073380973734,0.2697540184437977,0.2042934092496149,0.33546488104787703,-0.0020169230419880835
def_pass_epa,8,0.2624306632794666,0.19687082277613865,0.3216030109863995,0.2693252319066401,0.20722687500147194,0.3346160586099886,0.00689456862717347
def_rush_epa,1,0.10204243800810978,0.03257403080148489,0.17102449670898873,0.10119271775012838,0.03297092938621291,0.16863726647304392,-8.497202579813984E-4
def_rush_epa,2,0.16682106643720743,0.1000381962478101,0.23228197626887997,0.16422271747775577,0.1015610066891408,0.22892094247471775,-0.0025983489594516573
def_rush_epa,3,0.18175347266757097,0.11011094404191013,0.2517828931162568,0.17101281886234151,0.1004163561428838,0.24251566129777688,-0.010740653805229455
def_rush_epa,4,0.15808261328437725,0.08658356628214019,0.23199728595691038,0.15142965508022824,0.08486080065888621,0.22350858760011108,-0.006652958204149018
def_rush_epa,5,0.20646149219720067,0.1343991694610595,0.27250780355885645,0.19614837983530073,0.12825076621032797,0.26471621216927327,-0.01031311236189994
def_rush_epa,6,0.22557600903332486,0.1584582368120947,0.29747372359681773,0.2058533595035054,0.1403747594819422,0.272282598815918,-0.019722649529819475
def_rush_epa,7,0.2409140313282164,0.17328575713308342,0.304366683427196,0.21747080481909298,0.15796346056153704,0.2793400474267524,-0.02344322650912342
def_rush_epa,8,0.24503736072715399,0.1801895885742171,0.30751248537850073,0.22896116879017844,0.16600945393501762,0.2875080423878356,-0.016076191936975542
def_success,1,0.2800572296241234,0.21361508069490057,0.3436729059770901,0.24340816223487569,0.1798765741418291,0.30731434812710107,-0.0366490673892477
def_success,2,0.36207240268912505,0.3014429969987666,0.4172199464646424,0.30428512769687394,0.2450231643866032,0.3649651764601074,-0.057787274992251114
def_success,3,0.3981598476536068,0.3379026717925862,0.4544519420518471,0.35056712505118337,0.28881266752631346,0.4100492839339415,-0.04759272260242342
def_success,4,0.4149503427383581,0.35678681318436406,0.47140181727478403,0.3631709539123972,0.30483188292364605,0.4214453054553824,-0.05177938882596095
def_success,5,0.4359689481314691,0.3776440694113346,0.4921476080554892,0.3763117185986883,0.3201212284394787,0.43619532608781003,-0.0596572295327808
def_success,6,0.43644203130369963,0.3832191663779143,0.489397621583137,0.3712839949430095,0.31303298743561714,0.4310560974975954,-0.06515803636069012
def_success,7,0.43314759314121015,0.3762928220515034,0.4872699125349993,0.3574370039888723,0.30134956450049494,0.42004278630956354,-0.07571058915233786
def_success,8,0.4315633073511638,0.3765754109384736,0.48545751573484064,0.36758604658714483,0.31051554873734666,0.427209081055697,-0.063977260764019
